doi	title	journal	year	contentState	reason	note	route
10.1109/tnnls.2026.3663653	Redundancy Removal and Knowledge Alignment-Based Personalized Federated Learning for Online Condition Monitoring	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.neunet.2026.108884	Generative binary memory: Pseudo-Replay class-Incremental learning on binarized embeddings	Neural Networks	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1016/j.neunet.2026.108951	TrCLIP-VAD : Weak supervised video anomaly detection by improving CLIP training with text rewriting	Neural Networks	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tnnls.2026.3669519	TSFA: A Two-Stage Feature Alignment Method for Unsupervised Open-Set Domain Adaptation in Time-Series Classification	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3675818	Fusion of Supervised Feature Selection and Unsupervised Clustering for Multinuclei Classification of MER Signals in DBS for Parkinson's Disease	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3670269	CIRCUS: A Causal Intervention-Based Framework for Enhancing Counterfactual Fairness in Trained Classifiers	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3685679	SRFormerV2: Taking a Closer Look at Permuted Self-Attention for Image Super-Resolution	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3659341	Dual-Teacher and Dual-Prompt Pool for Few-Shot Dialog State Tracking	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tai.2026.3678598	No Time to Evade: Context-Aware Conditional Entropy Partitioning and Model Fusion for Robust Multiprocess Malware Detection	IEEE Transactions on Artificial Intelligence	2026	partial	blocked	PDF 探测时被出版社页面或反爬拦截。	ieee
10.1109/tpami.2026.3690655	DP-SfM: Dual-Pixel Structure-From-Motion Without Scale Ambiguity	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3684569	Fast and Distributed Equivariant Graph Neural Networks by Virtual Node Learning	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3695130	Black-Box Verification for GNN Ownership via Decision Boundary Fingerprints	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3696769	Post-Silicon Deception: Evasive Hardware Trojan Through Adversarial Power Trace	IEEE Transactions on Dependable and Secure Computing	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	ieee
10.1109/tai.2026.3681535	A Language-Enhanced Supervision-Reduced Analysis Framework for Multibranching Vessels	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3708852	Anti-Inpainting: A Proactive Defense Approach Against Malicious Diffusion-Based Inpainters Under Unknown Conditions	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3690304	Addressing Structural Distribution Shift in Explanations for Graph Neural Networks	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3669910	Coupled Impulsive Control for Multisynchronization of Multistable Stochastic Neural Networks Under Parameter Uncertainties	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3672118	An Enhanced Low-Computational-Complexity Predefined-Time Convergent Zeroing Neural Network for Constrained Time-Varying Quadratic Programming With Kinematic Control of Robotic Manipulator	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3701041	MISC: Flexible Data Management for Private Smart Contract	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.cose.2026.104937	The value of leaked data in online social networks	Computers & Security	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tai.2026.3678538	Reinforcement Learning-Based Active Fault-Tolerant Control of Multi-Agent Systems	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3661291	Gauss--Newton Temporal Difference Learning With Nonlinear Function Approximation	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3675092	Anti-Disturbance Proximal Neural Networks for Composite Resource Allocation	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tkde.2026.3691368	TAP: Time Series Anomaly Prediction via Adaptive Period Modeling and Dual Representation Learning	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tkde.2026.3710321	Evolution Rather Than Degradation: Structure-Guided Elastic Consensus Learning for Multimodal Knowledge Graph Completion	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.neunet.2026.108890	VGM-UNet: A hybrid visual graph deformable mamba with fourier neural operator U-Net for medical image segmentation	Neural Networks	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tpami.2026.3690778	Dataset Distillation via a Noise-Unconstrained Generative Model	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3689520	Gradient Normalization Enables Communication-Efficient Distributed Learning Under Initialization Data Heterogeneity	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3697449	DNN Obfuscation With Contrastive Learning for Efficient Defense Against Side-Channel Attacks	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tkde.2026.3692238	Meta Relation-Aware Metric Learning Framework for Few-Shot Uncertain Knowledge Graph Completion	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.neunet.2026.108989	DSTFGCN: A dynamic spatial-temporal fusion graph convolution network for traffic flow forecasting	Neural Networks	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tai.2026.3666523	Efficient Out-of-Distribution Generalization for Pretrained GNNs via Prompt Learning	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tai.2025.3559040	Human-in-the-Loop Formation-Containment Safe Control for Multi-agent Systems via Reinforcement Learning	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3696051	Style Backdoor: A Robust Style-Decoupled Clean-Label Backdoor Attack	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3674477	Accelerated Reinforcement Learning With Verifiable Excitation for Cubic Convergence	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.cose.2026.104934	Best current practices for privacy-preserving OpenID Connect: A study of their adoption in the wild	Computers & Security	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tai.2026.3676723	TrustTiny-HAR: Selective, Open-Set, and Calibrated Activity Recognition on Microcontrollers	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tai.2026.3677237	Infinite Gaussian Mixture Autoencoder for Adaptive Deep Unsupervised Clustering	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.neunet.2026.108998	NEU: Continuous-time memory evolution for temporal interaction graph networks	Neural Networks	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	elsevier
10.1109/tkde.2026.3692204	MADGCN: A Meteorology-Aware Spatio-Temporal Graph Convolution Network for Long-Term Air Pollution Forecasting	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3698857	Parallel Secure Pattern Matching With Differential Privacy and Consistency Checking	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.neunet.2026.108977	Neural network pruning and simultaneous feature and structure selection	Neural Networks	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tdsc.2026.3698115	FlashShield: Detecting Flash Loan Attacks in DeFi Using Hypergraph Neural Network	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3671461	Spatiotemporal Decoupled Learning for Spiking Neural Networks	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tkde.2026.3698929	Mining Congestion Propagation Patterns in Urban Road Networks: A Reinforcement Learning Method	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tkde.2026.3701456	K Graph Centers	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3697849	Fine-Grained Detection and Analysis of Unknown Encrypted Malicious Traffic From Mixed Noisy Labels	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3666557	A Push-Pull Network Mechanism Revealed by Describing Function Analysis for Alzheimer's Pathological Oscillations	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.artint.2026.104575	Identifying heterophilic neighbors via confidence-based subgraph matching for graph neural networks	Artificial Intelligence	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tnnls.2026.3661974	TCPFMC: Trustworthy Cyclic Progressive Fusion for Multimodal Classification	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tkde.2026.3697810	State of the Union: Toward Reproducible Performance Evaluations in Federated Learning	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1007/s10994-026-07145-4	Learning Without Forgetting for Continual Learning in LLMs Through Adaptive LoRA Ranks	Machine Learning	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	springer-link
10.1109/tkde.2026.3690781	Beyond Spatial Privacy: Protecting Trajectories With Spatio-Temporal Differential Privacy	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3673098	Rethinking Spectral Graph Neural Networks With Spatially Adaptive Filtering	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3673350	Sparse Variational Student-t Processes for Heavy-Tailed Modeling	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3705642	Silent Poisoning: A Stealthy and Unified Dual-Space Framework for VFL Backdoor Attacks	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3696421	A Post-Quantum Decentralized Threshold Authenticated Key Agreement Scheme for Securing Vehicular Ad-Hoc Networks	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3698487	PriRAG: Privacy-Preserving Inference for Retrieval-Augmented Large Language Models	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3695911	An Advanced Persistent Threat Detection Framework Based on Graph Attention Networks With Spectral Feature Refinement	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3702025	Adaptive Semi-Supervised Learning-Based Misbehavior Detection in Vehicular Networks	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
